,Pre: Q1,Pre: Q3,L1: Q1,L1: Q3,E1: Q1,E1: Q3,E2: Q1,E2: Q3,E3: Q1,E3: Q3,R1: Q1,R1: Q3,R2: Q1,R2: Q3,action mode
C81,0.0319205,0.03557775,0.03420075,0.037085,0.0351555,0.054063,0.0331745,0.0371,0.031999,0.033164,0.031929875,0.03479075,0.031093125,0.033837625,TRPV agonist
C82,0.028604,0.0353905,0.03058475,0.03421925,0.03340875,0.03730275,0.032082,0.036835,0.029071,0.030671,0.0284055,0.03136975,0.02756975,0.02962075,TRPV agonist
C84,0.0334105,0.0385995,0.03543875,0.035782,0.03543225,0.03805225,0.034827,0.035658,0.033054,0.03619,0.0295095,0.035342,0.03022325,0.038449,TRPV agonist
C85,0.0261455,0.03004875,0.0266575,0.029743,0.02778725,0.033534,0.0263375,0.0290605,0.025856,0.026995,0.025882125,0.026584375,0.025058,0.02656825,TRPV agonist
C86,0.028863,0.0359675,0.02851675,0.03322975,0.02670875,0.030578,0.024991,0.027924,0.02493,0.027162,0.026692,0.03053,0.02608625,0.030579,TRPV agonist
C87,0.0301605,0.03520025,0.02990675,0.032456125,0.030604,0.032760375,0.029538,0.030462,0.029386,0.0302065,0.029607375,0.030327125,0.02920525,0.0305455,TRPV agonist
C91,0.03149025,0.03779475,0.034514375,0.056447875,0.03582075,0.041594875,0.0274335,0.032,0.0269475,0.02823,0.02814325,0.028581625,0.027399125,0.028811625,TRPV agonist
C92,0.0324855,0.0384485,0.035030125,0.037904,0.033603375,0.03575175,0.0323055,0.039663,0.0331105,0.0380615,0.032793375,0.035994875,0.03239075,0.037151,TRPV agonist
C99,0.0314535,0.034492,0.03167125,0.03366025,0.03178925,0.032797,0.031269,0.032763,0.03072,0.032341,0.0306655,0.03230725,0.03123075,0.03229975,TRPV agonist
C100,0.0384085,0.046367,0.0398075,0.06116525,0.0450895,0.08956025,0.038532,0.046454,0.038925,0.040583,0.038768,0.04364525,0.03802025,0.04291,TRPV agonist
C102,0.02458025,0.0286055,0.025685375,0.0272245,0.02878325,0.03139775,0.026032,0.0292505,0.025084,0.0269915,0.0255185,0.026581375,0.025211125,0.027348125,TRPV agonist
C106,0.030385,0.0343875,0.03062675,0.0420925,0.04510725,0.1990075,0.031575,0.042287,0.029668,0.030658,0.02942575,0.030288,0.029469,0.0303405,TRPV agonist
C109,0.02744,0.0293395,0.028014,0.029134,0.02790225,0.0291015,0.028168,0.03264,0.027999,0.02945,0.02759425,0.02923325,0.02709375,0.02819025,TRPV agonist
C111,0.0297035,0.0383155,0.0301975,0.033858,0.03191125,0.03568625,0.030565,0.033081,0.028665,0.030316,0.028726,0.0356035,0.02940425,0.032401,TRPV agonist
